date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:29	15578/15578	U-----	200	untouched ('OK')	text/html	date:Sun,%2021%20Jan%202024%2000:52:21%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221129-01/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221129-01/index8326.html	(from )
10:29:30	124/124	U-----	200	untouched ('OK')	text/plain	date:Sun,%2021%20Jan%202024%2000:25:25%20GMT	https://www.shadow-garden-mog.jp/robots.txt		(from )
10:29:46	14706/14706	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2021%20Jan%202024%2009:29:09%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221129-02/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221129-02/index8326.html	(from )
10:29:46	15256/15256	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2021%20Jan%202024%2009:29:09%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221129-03/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221129-03/index8326.html	(from )
10:29:46	17572/17572	U-----	200	untouched ('OK')	text/html	date:Sun,%2021%20Jan%202024%2000:53:02%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221202-01/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221202-01/index8326.html	(from )
10:29:46	14664/14664	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2021%20Jan%202024%2009:29:30%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221129-04/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221129-04/index8326.html	(from )
10:29:46	17246/17246	U-----	200	untouched ('OK')	text/html	date:Sun,%2021%20Jan%202024%2000:34:53%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221207-01/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221207-01/index8326.html	(from )
10:29:46	146/146	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2021%20Jan%202024%2009:29:47%20GMT	https://www.shadow-garden-mog.jp/wp-content/themes/webview/images/common/appletouch.png	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/wp-content/themes/webview/images/common/appletouch.0.delayed	(from https://www.shadow-garden-mog.jp/en/information/news/gacha-221129-01/?from=ingame)
10:30:09	17336/17336	U-----	200	untouched ('OK')	text/html	date:Sun,%2021%20Jan%202024%2000:53:43%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221222-01/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221222-01/index8326.html	(from )
10:30:24	17352/17352	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2021%20Jan%202024%2009:29:47%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221215-01/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221215-01/index8326.html	(from )
10:30:24	16977/16977	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2021%20Jan%202024%2009:29:47%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221208-01/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221208-01/index8326.html	(from )
10:30:24	15191/15191	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2021%20Jan%202024%2009:29:47%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221215-02/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221215-02/index8326.html	(from )
10:30:47	17559/17559	U-----	200	untouched ('OK')	text/html	date:Sun,%2021%20Jan%202024%2000:53:44%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221229-01/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221229-01/index8326.html	(from )
10:30:47	16674/16674	U-----	200	untouched ('OK')	text/html	date:Sun,%2021%20Jan%202024%2000:54:24%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-230101-01/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-230101-01/index8326.html	(from )
10:30:47	16914/16914	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2021%20Jan%202024%2009:30:10%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221222-02/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221222-02/index8326.html	(from )
10:31:02	16807/16807	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2021%20Jan%202024%2009:30:25%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-221229-02/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-221229-02/index8326.html	(from )
10:31:25	17165/17165	U-----	200	untouched ('OK')	text/html	date:Sun,%2021%20Jan%202024%2000:55:05%20GMT	https://www.shadow-garden-mog.jp/en/information/news/gacha-230119-01/?from=ingame	C:/Mis%20lugares%20Web/eminence/www.shadow-garden-mog.jp/en/information/news/gacha-230119-01/index8326.html	(from )
